etfCode,name,missingField,coverageScore
0148J0,TIGER 코리아휴머노이드로봇산업,distribution,0.35
0148J0,TIGER 코리아휴머노이드로봇산업,sectorCountryWeights,0.35
0148J0,TIGER 코리아휴머노이드로봇산업,feesAndAssets,0.35
0150K0,KoAct 수소전력ESS인프라액티브,issuer,0.45
0150K0,KoAct 수소전력ESS인프라액티브,benchmarkName,0.45
0150K0,KoAct 수소전력ESS인프라액티브,descriptions,0.45
0150K0,KoAct 수소전력ESS인프라액티브,distribution,0.45
0150K0,KoAct 수소전력ESS인프라액티브,sectorCountryWeights,0.45
0150K0,KoAct 수소전력ESS인프라액티브,feesAndAssets,0.45
0151P0,RISE 코리아전략산업액티브,issuer,0.45
