etfCode,name,codeType,hasMetadata,coverageScore,holdingsCount,hasIssuer,hasFee,hasDistribution,taggedTagCount,tags
0047P0,RISE 테슬라고정테크100,naver_internal_unresolved,N,,0,N,N,N,0,
0047R0,RISE 팔란티어고정테크100,naver_internal_unresolved,N,,0,N,N,N,0,
0048J0,KODEX 미국머니마켓액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0048K0,KODEX 차이나휴머노이드로봇,naver_internal_unresolved,N,,0,N,N,N,0,
0049K0,ACE 미국배당퀄리티채권혼합50,naver_internal_unresolved,Y,0.55,0,Y,Y,Y,1,dividend.monthly
0049M0,ACE 미국배당퀄리티+커버드콜액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0050E0,PLUS 미국AI에이전트,naver_internal_unresolved,N,,0,N,N,N,0,
0051A0,KoAct 브로드컴밸류체인액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0051G0,SOL 미국원자력SMR,naver_internal_unresolved,N,,0,N,N,N,0,
0052D0,TIGER 코리아배당다우존스,naver_internal_unresolved,Y,0.35,10,N,N,N,1,dividend.korea_high_dividend
0052S0,1Q 미국S&P500미국채혼합50액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0052T0,1Q 중단기회사채(A-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0053L0,TIGER 차이나휴머노이드로봇,naver_internal_unresolved,N,,0,N,N,N,0,
0053M0,더제이 중소형포커스액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,0,
0057H0,PLUS 미국S&P500미국채혼합50액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0060H0,TIGER 토탈월드스탁액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0061Z0,RISE 단기특수은행채액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0064K0,KODEX 금액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0065G0,KODEX 차이나테크TOP10,naver_internal_unresolved,N,,0,N,N,N,0,
0066W0,SOL 국제금,naver_internal_unresolved,N,,0,N,N,N,0,
0067V0,TIGER 차이나글로벌리더스TOP3+,naver_internal_unresolved,N,,0,N,N,N,0,
0067Y0,TIGER 차이나AI소프트웨어,naver_internal_unresolved,N,,0,N,N,N,0,
0068M0,KODEX 미국S&P500버퍼6월액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0069M0,1Q 미국나스닥100,naver_internal_unresolved,N,,0,N,N,N,0,
0072R0,TIGER KRX금현물,naver_internal_unresolved,N,,0,N,N,N,0,
0073X0,FOCUS 알리바바미국채커버드콜혼합,naver_internal_unresolved,N,,0,N,N,N,0,
0074K0,KoAct K수출핵심기업TOP30액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,0,
0078V0,PLUS 미국로보택시,naver_internal_unresolved,N,,0,N,N,N,0,
0079X0,ACE BYD밸류체인액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0080G0,KODEX 방산TOP10,naver_internal_unresolved,Y,0.75,11,Y,Y,Y,1,sector.aerospace_defense
0080X0,SOL 미국S&P500미국채혼합50,naver_internal_unresolved,N,,0,N,N,N,0,
0080Y0,SOL 조선TOP3플러스레버리지,naver_internal_unresolved,Y,0.75,15,Y,Y,Y,1,strategy.leverage
0082F0,HANARO 유럽방산,naver_internal_unresolved,N,,0,N,N,N,0,
0082V0,KODEX TDF2060액티브 적격,naver_internal_unresolved,N,,0,N,N,N,0,
0083S0,1Q 미국메디컬AI,naver_internal_unresolved,N,,0,N,N,N,0,
0084D0,KIWOOM 미국테크100월간목표헤지액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0084E0,KIWOOM 미국대형주500월간목표헤지액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0085N0,ACE 미국10년국채액티브(H),naver_internal_unresolved,N,,0,N,N,N,0,
0085P0,ACE 미국10년국채액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0086B0,TIGER 리츠부동산인프라TOP10액티브,naver_internal_unresolved,Y,0.45,9,N,N,N,1,strategy.reit
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,strategy.reit
0087F0,ACE 차이나AI빅테크TOP2+액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0088N0,WON K-글로벌수급상위,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0089B0,PLUS 미국나스닥100미국채혼합50,naver_internal_unresolved,N,,0,N,N,N,0,
0089C0,KODEX 미국S&P500변동성확대시커버드콜,naver_internal_unresolved,N,,0,N,N,N,0,
0089D0,KODEX 금융고배당TOP10,naver_internal_unresolved,Y,0.35,10,N,N,N,2,sector.financials|dividend.korea_high_dividend
0090B0,PLUS K방산소부장,naver_internal_unresolved,Y,0.35,10,N,N,N,1,sector.aerospace_defense
0091C0,KODEX 미국10년국채액티브(H),naver_internal_unresolved,N,,0,N,N,N,0,
0091M0,HANARO 27-06 회사채(AA-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0091P0,TIGER 코리아원자력,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0092B0,SOL 한국원자력SMR,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0092C0,SOL 27-12 회사채(AA-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0093A0,RISE AI반도체TOP10,naver_internal_unresolved,Y,0.35,10,N,N,N,1,sector.semiconductor
0093B0,RISE 엔비디아고정테크100,naver_internal_unresolved,N,,0,N,N,N,0,
0093D0,KoAct 팔란티어밸류체인액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0094K0,TIGER 28-04 회사채(A+이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0094L0,RISE 차이나테크TOP10위클리타겟커버드콜,naver_internal_unresolved,N,,0,N,N,N,0,
0094M0,RISE 코리아밸류업위클리고정커버드콜,naver_internal_unresolved,Y,0.45,10,N,N,N,2,dividend.covered_call|strategy.value_up
0094X0,1Q 샤오미밸류체인액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0097L0,KIWOOM 한국고배당&미국AI테크,naver_internal_unresolved,N,,0,N,N,N,0,
0098F0,KODEX 원자력SMR,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0098N0,PLUS 자사주매입고배당주,naver_internal_unresolved,Y,0.35,10,N,N,N,2,dividend.korea_high_dividend|sector.financials
0098Z0,FOCUS 200,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0099L0,ACE 우량회사채(AA-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0100K0,KODEX 방산TOP10레버리지,naver_internal_unresolved,Y,0.45,10,N,N,N,2,strategy.leverage|sector.aerospace_defense
0101N0,RISE AI전력인프라,naver_internal_unresolved,Y,0.35,10,N,N,N,1,sector.ai_power_infrastructure
0102A0,TIGER 미국AI소프트웨어TOP4Plus,naver_internal_unresolved,N,,0,N,N,N,0,
0102X0,ACE 유럽방산TOP10,naver_internal_unresolved,N,,0,N,N,N,0,
0103T0,1Q K소버린AI,naver_internal_unresolved,Y,0.35,10,N,N,N,1,sector.it
0104G0,PLUS K방산레버리지,naver_internal_unresolved,Y,0.45,10,N,N,N,2,strategy.leverage|sector.aerospace_defense
0104H0,KoAct 미국나스닥채권혼합50액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0104N0,TIGER 200타겟위클리커버드콜,naver_internal_unresolved,Y,0.45,10,N,N,N,1,dividend.covered_call
0104P0,TIGER 코리아배당다우존스위클리커버드콜,naver_internal_unresolved,Y,0.45,10,N,N,N,2,dividend.covered_call|dividend.korea_high_dividend
0105D0,SOL 한국AI소프트웨어,naver_internal_unresolved,Y,0.35,10,N,N,N,1,sector.it
0105E0,SOL 코리아고배당,naver_internal_unresolved,Y,0.35,10,N,N,N,1,dividend.korea_high_dividend
0107F0,KIWOOM 미국고배당&AI테크,naver_internal_unresolved,N,,0,N,N,N,0,
0111J0,HANARO 증권고배당TOP3플러스,naver_internal_unresolved,Y,0.35,10,N,N,N,2,sector.financials|dividend.korea_high_dividend
0111P0,1Q 미국나스닥100미국채혼합50액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0112X0,마이티 200TR,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0113D0,TIME 글로벌탑픽액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0113G0,KoAct 미국바이오헬스케어액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0113P0,HK 머니마켓액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0114X0,RISE 글로벌게임테크TOP3Plus,naver_internal_unresolved,N,,0,N,N,N,0,
0115C0,RISE 미국고배당다우존스TOP10,naver_internal_unresolved,N,,0,N,N,N,0,
0115D0,KODEX 조선TOP10,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0115E0,KODEX 코리아소버린AI,naver_internal_unresolved,Y,0.35,10,N,N,N,1,sector.it
0117L0,KODEX 26-12 금융채(AA-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0117V0,TIGER 코리아AI전력기기TOP3플러스,naver_internal_unresolved,Y,0.35,10,N,N,N,1,sector.ai_power_infrastructure
0118S0,SOL 미국넥스트테크TOP10액티브,naver_internal_unresolved,N,,0,N,N,N,0,
