shortCode,name,productId,status,benchmarkName,distributionPolicy,rawHash
"278620","PLUS 단기채권액티브","006308","ok","KAP Investable Credit Bond 1Y Index (총수익지수)","매년 12월 15일 및 회계기간 종료일(다만, 매년 12월 15일을 분배기준일로 당해년도 1회 분배 예정)","6fece817abb0689aea8b77837eacd8935c40be895602758a1ca1e03f361d3980"
"280920","PLUS 주도업종","006309","ok","FnGuide 주도업종 지수","배당금 발생시 1,4,7,10월, 마지막 영업일 및 회계기간 종료일 기준 지급(회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)","ece12cf816af6078ffd6d0032ba0c0f52057ce3d1d227d6478d7c2ac181307bf"
"287180","PLUS 미국나스닥테크","006310","ok","NASDAQ 100 Technology Sector","분배금 지급 사유 발생시 1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일에 분배금 지급 가능","38574ab30646d296e68618a47a001bacfed0a00296f572855bf7db3bb1c9df19"
"289670","PLUS 국채선물10년","006314","ok","F-LKTB Index","매년 12월 15일 및 회계기간 종료일(다만, 매년 12월 15일을 분배기준일로 당해년도 1회 분배 예정)","db36339fd4b323d8d49a822c843d97f912bcc5bd7e78fc12df8979c91f648b23"
"298340","PLUS 국채선물3년","006317","ok","F-KTB Index","매년 12월 15일 및 회계기간 종료일(다만, 매년 12월 15일을 분배기준일로 당해년도 1회 분배 예정)","c43264b6ff63009159b9a3de0606962df3f98e164177b902c4f131d4e631cf1e"
"301400","PLUS 코스닥150","006318","ok","코스닥150","배당금 발생시 1,4,7,10월, 마지막 영업일 및 회계기간 종료일 기준 지급(회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)","ea907991666c3e52602ebb1f5c67c9cf9116071ac0da24f963908e769e2c9b83"
"328370","PLUS 코스피TR","006327","ok","KOSPI TR 지수","분배금 재투자로 수익 극대화 추구","a16b37de11bbb76ab0c78966bf1fa68b1d2cf2ff9f3462f616dccbc28be96c47"
"332610","PLUS 미국단기회사채(AAA~A)","006328","partial","ICE BofAML 1-3 Year AAA A US Corporate Index (총수익지수)","매월 마지막 영업일 및 회계기간 종료일","627428074424dbcf09331c5a3ddc4610abb851d0849a73f49c6aed653eb81666"
"332620","PLUS 미국장기우량회사채","006329","partial","ICE BofAML 15+ Year AAA A US Corporate Index (총수익지수)","매월 마지막 영업일 및 회계기간 종료일","2e1d7ae3e9190fc0d3928abd30b5a26007483abeee67a0a5b8ba37d017203630"
"395750","PLUS ESG가치주액티브","006340","partial","FnGuide Hanwha ESG Value Index","배당금 발생시 1,4,7,10월, 마지막 영업일 및 회계기간 종료일 기준 지급(회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)","3c412e1418ef9951245dde3d801841e836dd887da1c543168823e86374578960"
