shortCode,name,productId,status,benchmarkName,distributionPolicy,rawHash
"0197X0","SOL SK하이닉스선물단일종목인버스2X","211114","ok","KRX SK하이닉스 선물 지수(PR)","연 1회 지급; - 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","cc9be8752a17297451d5137dc04074e96477a9a1d963f09a5471bb38386a2831"
"0207G0","SOL 우주항공밸류체인","211116","ok","Akros 우주항공밸류체인 (PR)","연 1회 지급; - 매 1,4,7,10월의 마지막영업일 및 회계기간 종료일 (종료일이 영업일이 아닌 경우 종료일의 직전영업일) - 지급기준일 익영업일로부터 제7영업일 이내(단, 운용사 정책에 따라 유보 및 지급률 변동 가능)","286ef08141af1b821e653aa9cb2aa26fb5a1958a0802e72316f76a53131ad4b0"
"295040","SOL 200TR","210734","ok","KOSPI200TR Index","미지급","93627e472af02292513154194de61ce504e99de97e94d5deaff1ea9bff9606b8"
"363510","SOL KIS단기통안채","210811","ok","KIS단기통안채 Index (TR)","연 1회 지급; - 매년 12월 15일 및 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","872cf20bfddb9293a31526a47feb9cc50c20a6ef8cf210ced9260c7f3ef57c96"
"399110","SOL 미국S&P500ESG","210880","ok","S&P 500 Scored & Screened Index(원화환산)","연 4회 지급; - 지급 기준일 : 1, 4, 7, 10월의 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","cc5eaa668b86d3bb0d852733eb869820cbc603bc29fc99455776eacf1e1bcb65"
"400580","SOL 유럽탄소배출권선물S&P(H)","210885","ok","S&P GSCI Carbon Emission Allowances(EUA)(ER) Index","연 1회 지급; - 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","aa299bdd742a0b84d5a647dd71bff9d77af93fd86c4e6702d01b9e5c61746aa9"
"400590","SOL 글로벌탄소배출권선물ICE(합성)","210884","ok","ICEGlobal Carbon Futures Index","연 1회 지급; - 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","5d180ff5b0cd101d1f8200e7136a65564fc7217dd3cd448efb6507b2fed26d14"
"404650","SOL KRX기후변화솔루션","210890","ok","KRX기후변화솔루션지수","연 4회 지급; - 지급 기준일 : 1, 4, 7, 10월의 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","1394aa0cd06ec754aedffa72f682cbbf24ac100d738c453a6624c5929ffcf8a6"
"411540","SOL 200 Top10","210895","ok","KOSPI 200Top10","연 4회 지급; - 지급 기준일 : 1,4,7,10월의 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","887991b914f3de41cc3f9dc5f1ec25dc7b6ba2f368c7fae03a6c9bd191462157"
"413220","SOL 차이나태양광CSI(합성)","210896","ok","CSI Photovoltaic Industry Index(PR)","연 1회 지급; - 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","afe79e4e6fcd463768932a7a568ad262ca91e3be69e2e6d4dff0731d09dc25c9"
"415760","SOL 차이나육성산업액티브(합성)","210897","partial","","연 1회 지급; - 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","5f70e28d63a38fede7f88095c965167980806435ae40e7bd2499e1733240b170"
"423170","SOL 글로벌AI반도체탑픽액티브","210908","partial","","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","765ff6f429a71bdbca3ce46b5d00c302d111111790b775690a0cb03a9f9cf300"
"429980","SOL 한국형글로벌전기차&2차전지액티브","210919","partial","","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","785bf0176ff042e43b6171752709fd18e52cd735d53084eb4b7347a346da84fe"
"436140","SOL 종합채권(AA-이상)액티브","210932","partial","","연 1회 지급; - 매년 12월 15일 및 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","55ca1c4f18a2079b7c38d2ff9d98015da2f9f119d56a3fe5fbe55ac4201c36b9"
"438560","SOL 국고채3년","210934","ok","KAP 국고채3년지수(총수익)","연 1회 지급; - 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동가능","e6e55eb2eebd5ab92812d7841c73343d1c0022b73af6c39d86ee37bd3957485c"
"438570","SOL 국고채10년","210935","ok","KAP 국고채10년지수(총수익)","연 1회 지급; - 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","fa6faf64a0177782d02df7fa2797e9f36aeafc02e8247a4e4909d85923600e7e"
"444200","SOL 코리아메가테크액티브","210940","partial","","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동가능","c1e5efcb9c6276f56356ca5f40c02309849b40b08790e99376544876fdaf4781"
"446720","SOL 미국배당다우존스","210942","ok","Dow Jones U.S. Dividend 100 Index(PR)","월 1회 지급; - 지급 기준일 : 매월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","2c2a76f1f43664c38ca72a46c4b547ea70181c797ced178b0792cd5e8720ac26"
"447620","SOL 미국TOP5채권혼합50","210945","ok","Solactive US TOP5 Balanced50 Index(PR)","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","eb5be81f8811822bb6916daa9b75d15d5dc5be1a5f5f6c539c96a88a8533515c"
"450910","SOL 코스닥150","210961","ok","코스닥 150 지수(PR)","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","cf819ced8281e536597730d97786818340c57f62d30d15a684506545f01e49a5"
