universeKey,shortCode,name,status,score,grade,provenanceSelected,provenanceBacked,regionEligibility,regionEvidence,sectorEligibility,sectorEvidence,dividendEligibility,dividendEvidence
225040,225040,TIGER 미국S&P500레버리지(합성 H),partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
225050,225050,TIGER 유로스탁스레버리지(합성 H),partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
225060,225060,TIGER 이머징마켓MSCI레버리지(합성 H),partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
225130,225130,ACE 골드선물 레버리지(합성 H),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
225800,225800,KIWOOM 미국달러선물레버리지,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
226380,226380,ACE Fn성장소비주도주,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
226490,226490,KODEX 코스피,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
226980,226980,KODEX 200 중소형,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
227540,227540,TIGER 200 헬스케어,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
227550,227550,TIGER 200 산업재,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
227560,227560,TIGER 200 생활소비재,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
227570,227570,TIGER 우량가치,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
227830,227830,PLUS 코스피,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
228790,228790,TIGER 화장품,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
228800,228800,TIGER 여행레저,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
228810,228810,TIGER 미디어컨텐츠,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
228820,228820,TIGER KTOP30,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
229200,229200,KODEX 코스닥150,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
229720,229720,KODEX KTOP30,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
230480,230480,KIWOOM 미국달러선물인버스2X,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
232080,232080,TIGER 코스닥150,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
233160,233160,TIGER 코스닥150 레버리지,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
233740,233740,KODEX 코스닥150레버리지,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
234310,234310,RISE V&S셀렉트밸류,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
236350,236350,TIGER 인도니프티50레버리지(합성),partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
237350,237350,KODEX 코스피100,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
237370,237370,KODEX 코리아배당성장채권혼합,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
237440,237440,TIGER 경기방어채권혼합,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
238670,238670,PLUS 스마트베타Quality채권혼합,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
238720,238720,ACE 일본Nikkei225(H),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
