etfCode,name,codeType,issuer,benchmarkName,detailScope,readinessScore,grade,assetClassEvidence,regionEvidence,sectorEvidence,strategyEvidence,dividendEvidence,holdingsCount,tagCount,hasLlmContribution,missingFields
0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H),naver_internal_unresolved,,Bloomberg Blended NVIDIA and US Long Treasury Bond Index,thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),naver_internal_unresolved,,Bloomberg Blended PALANTIR and US Long Treasury Bond Index,thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0015K0,TIGER 미국소비트렌드액티브,naver_internal_unresolved,,Mirae Asset US Consumer Trend 지수 (PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0016X0,SOL 중단기회사채(A-이상)액티브,naver_internal_unresolved,,KIS 중단기크레딧플러스채권(AA+~A-)지수(총수익),thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0017Y0,1Q 종합채권(AA-이상)액티브,naver_internal_unresolved,,KIS 종합채권형 지수(AA-이상)(총수익),thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0018C0,PLUS 고배당주위클리고정커버드콜,naver_internal_unresolved,,코스피 고배당 위클리 고정 커버드콜 지수,enriched,52,C,low,low,medium,medium,none,10,5,true,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
0018Z0,RISE 미국양자컴퓨팅,naver_internal_unresolved,,Solactive US Quantum Computing Technology Index PR,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0019K0,TIME 미국나스닥100채권혼합50액티브,naver_internal_unresolved,,FnGuide 미국나스닥100 단기채권혼합 지수,thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0020H0,KoAct 글로벌양자컴퓨팅액티브,naver_internal_unresolved,,FactSet 글로벌양자컴퓨팅 PR 지수,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0022T0,SOL 국제금커버드콜액티브,naver_internal_unresolved,,KEDI 골드인컴프리미엄 지수(NTR),thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0023A0,SOL 미국양자컴퓨팅TOP10,naver_internal_unresolved,,KEDI 미국양자컴퓨팅 TOP10(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0023B0,PLUS 미국양자컴퓨팅TOP10,naver_internal_unresolved,,iSelect 미국양자컴퓨팅 TOP10 (PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0025N0,TIGER TDF2045 적격,naver_internal_unresolved,,S&P Korea Target Date 2045 Global Index,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0026E0,KODEX 미국S&P500버퍼3월액티브,naver_internal_unresolved,,S&P500 10% Buffered Index March Series (USD) TR,thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0026S0,1Q 미국S&P500,naver_internal_unresolved,하나자산운용(주),S&P 500,enriched,46,C,medium,low,low,medium,low,0,4,true,표준 KRX 코드|상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력
0028X0,KODEX 미국금융테크액티브,naver_internal_unresolved,,iSelect 미국 차세대 파이낸셜 테크 지수(시장가격),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0035T0,PLUS 글로벌휴머노이드로봇액티브,naver_internal_unresolved,,iSelect 글로벌휴머노이드로봇 (PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0036D0,TIME 미국배당다우존스액티브,naver_internal_unresolved,,Dow Jones U.S. Dividend 100 Price Return Index,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0036R0,RISE 미국휴머노이드로봇,naver_internal_unresolved,,KEDI 미국 휴머노이드 로봇 지수(시장가격),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0036Z0,RISE 미국천연가스밸류체인,naver_internal_unresolved,,Solactive US Natural Gas Value Chain Index PR,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0038A0,KODEX 미국휴머노이드로봇,naver_internal_unresolved,,iSelect 미국 휴머노이드 로봇 지수(Price Return),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0040S0,HANARO 글로벌피지컬AI액티브,naver_internal_unresolved,,Solactive Physical AI Index,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
